e_annee_naissance,e_p_5ans,indice_conf_age,e_top_age_ok,e_age,e_sexe,c_insee,c_iris,c_qualite_iris,civilite,codgeo,complement_adrs,complement_nom,cp,e_age_geo,e_age_prenom,id,pays,prenom,sexe,ville
1986,0.9,Confiance ++,2,38.276754544386144,M,01004,0102,1.0,M,010040102,,,1500,36.70165723692043,39.851851851851855,1,FR,Kilian,NA,Ambérieu-en-Bugey
1986,0.9,Confiance ++,2,38.276754544386144,M,01004,0102,1.0,M,010040102,,,1500,36.70165723692043,39.851851851851855,1,FR,Kilian,NA,Ambérieu-en-Bugey
1974,0.9,Confiance,2,49.60936432553937,M,01004,0101,1.0,Mme,010040101,,,1500,38.718728651078735,60.5,2,FR,Benjamin,NA,Ambérieu-en-Bugey
1974,0.9,Confiance,2,49.60936432553937,M,01004,0101,1.0,Mme,010040101,,,1500,38.718728651078735,60.5,2,FR,Benjamin,NA,Ambérieu-en-Bugey
1973,0.9,Confiance,2,50.984448388958285,F,01072,0000,2.0,Mme,010720000,Bâtiment A étage 1,,1250,41.46889677791656,60.5,3,FR,Léa,NA,Ceyzériat
1973,0.9,Confiance,2,50.984448388958285,F,01072,0000,2.0,Mme,010720000,Bâtiment A étage 1,,1250,41.46889677791656,60.5,3,FR,Léa,NA,Ceyzériat
1973,0.9,Confiance,2,50.984448388958285,M,01072,0000,2.0,M,010720000,Bâtiment A étage 1,,1250,41.46889677791656,60.5,4,FR,Léon,NA,Ceyzériat
1973,0.9,Confiance,2,50.984448388958285,M,01072,0000,2.0,M,010720000,Bâtiment A étage 1,,1250,41.46889677791656,60.5,4,FR,Léon,NA,Ceyzériat
1974,0.9,Confiance,2,49.88028172229161,M,01072,0000,2.0,M,010720000,Bâtiment A étage 1,,1250,41.46889677791656,58.291666666666664,5,FR,Lucas,NA,Ceyzériat
1974,0.9,Confiance,2,49.88028172229161,M,01072,0000,2.0,M,010720000,Bâtiment A étage 1,,1250,41.46889677791656,58.291666666666664,5,FR,Lucas,NA,Ceyzériat
1974,0.9,Confiance,2,50.02698375355513,M,01143,0101,1.0,M,011430101,Appartement 3B,,1220,39.55396750711026,60.5,6,FR,Olivier,NA,Divonne-les-Bains
1974,0.9,Confiance,2,50.02698375355513,M,01143,0101,1.0,M,011430101,Appartement 3B,,1220,39.55396750711026,60.5,6,FR,Olivier,NA,Divonne-les-Bains
1975,0.9,Confiance,2,49.21091152041545,M,01143,0102,1.0,M,011430102,,,1220,37.9218230408309,60.5,7,FR,Étienne,NA,Divonne-les-Bains
1975,0.9,Confiance,2,49.21091152041545,M,01143,0102,1.0,M,011430102,,,1220,37.9218230408309,60.5,7,FR,Étienne,NA,Divonne-les-Bains
1984,0.9,Confiance,2,39.851851851851855,M,,,,M,,,,1500,,39.851851851851855,8,FR,Kilian,NA,Ambérieu-en-Bugey
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,1500,,60.5,9,FR,Benjamin,NA,Ambérieu-en-Bugey
1964,0.9,Confiance,2,60.5,F,,,,Mme,,Bâtiment A étage 1,,1250,,60.5,10,FR,Léa,NA,Ceyzériat
1964,0.9,Confiance,2,60.5,M,,,,M,,Bâtiment A étage 1,,1250,,60.5,11,FR,Léon,NA,Ceyzériat
1966,0.9,Confiance,2,58.291666666666664,M,,,,M,,Bâtiment A étage 1,,1250,,58.291666666666664,12,FR,Lucas,NA,Ceyzériat
1964,0.9,Confiance,2,60.5,M,,,,M,,Appartement 3B,,1220,,60.5,13,FR,Olivier,NA,Divonne-les-Bains
1964,0.9,Confiance,2,60.5,M,,,,M,,,,1220,,60.5,14,FR,Étienne,NA,Divonne-les-Bains
