e_annee_naissance,e_p_5ans,indice_conf_age,e_top_age_ok,e_age,e_sexe,c_insee,c_iris,c_qualite_iris,civilite,codgeo,complement_adrs,complement_nom,cp,e_age_geo,e_age_prenom,id,pays,prenom,sexe,ville
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,1500,,60.5,1,FR,thomas,NA,Ambérieu-en-Bugey
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,1500,,60.5,2,FR,Raoul,NA,Ambérieu-en-Bugey
1993,0.9,Confiance,2,31.0,M,,,,Mme,,Bâtiment A étage 1,,1250,,31.0,3,FR,Lou,NA,Ceyzériat
1964,0.9,Confiance,2,60.5,M,,,,M.,,Bâtiment A étage 1,,1250,,60.5,4,FR,Léon,NA,Ceyzériat
1966,0.9,Confiance,2,58.291666666666664,M,,,,M.,,Bâtiment A étage 1,,1250,,58.291666666666664,5,FR,Lucas,NA,Ceyzériat
1964,0.9,Confiance,2,60.5,M,,,,Mme,,Appartement 3B,,1220,,60.5,6,FR,Max,NA,Divonne-les-Bains
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,1220,,60.5,7,FR,Étienne,NA,Divonne-les-Bains
1964,0.9,Confiance,2,60.5,M,,,,M.,,"43, rue Maréchal",,72000,,60.5,8,France,Léon,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,M.,,"32, rue Charlotte Dos Santos",,49000,,60.5,9,France,Roger,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SA,13001,,60.5,10,France,Joséphine,NA,Marseille
1994,0.9,Confiance,2,29.6,M,,,,Mme,,"1, chemin de Rossi",,74000,,29.6,11,France,Margaux,NA,Annecy
1969,0.9,Confiance,2,54.74444444444445,M,,,,Mme,,,et Fils,80000,,54.74444444444445,12,France,Astrid,NA,Amiens
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,29200,,60.5,13,France,Juliette,NA,Brest
1964,0.9,Confiance,2,60.5,M,,,,M.,,"723, chemin de Lecomte",,13001,,60.5,14,France,Alain,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,51100,,60.5,15,France,Grégoire,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,63000,,60.5,16,France,Georges,NA,Clermont-Ferrand
1969,0.9,Confiance,2,54.74444444444445,M,,,,Mme,,,,33000,,54.74444444444445,17,France,Astrid,NA,Bordeaux
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"64, chemin de Colas",SARL,38000,,60.5,18,France,Michèle,NA,Grenoble
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,44000,,60.5,19,France,Alain,NA,Nantes
1965,0.9,Confiance,2,59.04040404040404,M,,,,Mme,,"8, rue de Fournier",SA,37000,,59.04040404040404,20,France,Maryse,NA,Tours
2024,0.9,Confiance -,3,,M,,,,Mme,,avenue de Prévost,S.A.,69001,,,21,France,Nath,NA,Lyon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,59000,,60.5,22,France,Alexandre,NA,Lille
1987,0.9,Confiance,2,37.22,M,,,,Mme,,,,80000,,37.22,23,France,Océane,NA,Amiens
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"77, rue Humbert",,83000,,60.5,24,France,Adrienne,NA,Toulon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,25000,,60.5,25,France,Jacques,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,S.A.S.,76600,,60.5,26,France,Emmanuel,NA,Le Havre
1958,0.9,Confiance,2,65.91208791208791,M,,,,Mme,,,,44000,,65.91208791208791,27,France,Renée,NA,Nantes
1974,0.9,Confiance,2,49.76923076923077,M,,,,M.,,,,87000,,49.76923076923077,28,France,Thibault,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,25000,,60.5,29,France,Frédéric,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,66000,,60.5,30,France,Paul,NA,Perpignan
2024,0.9,Confiance -,3,,M,,,,Mme,,,,87000,,,31,France,Olivie,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,M.,,"90, avenue Rocher",,35000,,60.5,32,France,Pierre,NA,Rennes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,38000,,60.5,33,France,Yves,NA,Grenoble
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"192, boulevard Picard",,57000,,60.5,34,France,Jeanne,NA,Metz
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.S.,25000,,60.5,35,France,Joséphine,NA,Besançon
1964,0.9,Confiance,2,60.5,M,,,,M.,,"57, chemin Cordier",,72000,,60.5,36,France,Raymond,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,44000,,60.5,37,France,Christophe,NA,Nantes
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"651, boulevard Chevallier",,49000,,60.5,38,France,Laure,NA,Angers
1958,0.9,Confiance,2,66.33333333333333,M,,,,Mme,,,S.A.R.L.,42000,,66.33333333333333,39,France,Marcelle,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,21000,,60.5,40,France,Gilles,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,35000,,60.5,41,France,Marianne,NA,Rennes
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,13001,,60.5,42,France,Nathalie,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,33000,,60.5,43,France,Bertrand,NA,Bordeaux
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,49000,,60.5,44,France,Olivier,NA,Angers
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,35000,,60.5,45,France,Gabriel,NA,Rennes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,29200,,60.5,46,France,Émile,NA,Brest
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,67000,,60.5,47,France,Augustin,NA,Strasbourg
1964,0.9,Confiance,2,60.5,M,,,,M.,,avenue de Labbé,S.A.S.,57000,,60.5,48,France,Gérard,NA,Metz
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,21000,,60.5,49,France,Michel,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,66000,,60.5,50,France,Emmanuelle,NA,Perpignan
1963,0.9,Confiance,2,60.86,M,,,,Mme,,,S.A.S.,63000,,60.86,51,France,Anastasie,NA,Clermont-Ferrand
1958,0.9,Confiance,2,65.94505494505495,M,,,,Mme,,,,21000,,65.94505494505495,52,France,Jeannine,NA,Dijon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,87000,,60.5,53,France,Roger,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,SARL,31000,,60.5,54,France,Laure,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,S.A.,13001,,60.5,55,France,Jacqueline,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,M.,,"34, boulevard de Dijoux",,30000,,60.5,56,France,Bernard,NA,Nîmes
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,72000,,60.5,57,France,Marthe,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,63000,,60.5,58,France,Céline,NA,Clermont-Ferrand
1964,0.9,Confiance,2,60.5,M,,,,M.,,,SARL,13001,,60.5,59,France,Yves,NA,Marseille
1964,0.9,Confiance,2,60.5,M,,,,Mme,,rue Prévost,SARL,13100,,60.5,60,France,Alice,NA,Aix-en-Provence
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,13100,,60.5,61,France,Éric,NA,Aix-en-Provence
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,37000,,60.5,62,France,Hélène,NA,Tours
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,74000,,60.5,63,France,Jacques,NA,Annecy
1966,0.9,Confiance,2,57.864583333333336,M,,,,Mme,,"74, boulevard Cordier",,75001,,57.864583333333336,64,France,Corinne,NA,Paris
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,69001,,60.5,65,France,David,NA,Lyon
1964,0.9,Confiance,2,60.5,M,,,,M.,,"177, avenue Diane Gillet",,87000,,60.5,66,France,Emmanuel,NA,Limoges
1964,0.9,Confiance,2,60.5,M,,,,M.,,,S.A.R.L.,37000,,60.5,67,France,Gabriel,NA,Tours
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,59000,,60.5,68,France,Denis,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,59000,,60.5,69,France,Jérôme,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,59000,,60.5,70,France,Bertrand,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"461, rue de Pinto",S.A.R.L.,87000,,60.5,71,France,Valérie,NA,Limoges
1947,0.9,Confiance,2,77.47368421052632,M,,,,Mme,,,,51100,,77.47368421052632,72,France,Luce,NA,Reims
1947,0.9,Confiance,2,77.47368421052632,M,,,,Mme,,,,34000,,77.47368421052632,73,France,Luce,NA,Montpellier
1966,0.9,Confiance,2,57.864583333333336,M,,,,Mme,,"73, rue Michelle Godard",,25000,,57.864583333333336,74,France,Corinne,NA,Besançon
1974,0.9,Confiance,2,49.76923076923077,M,,,,M.,,"500, avenue Guilbert",S.A.S.,59000,,49.76923076923077,75,France,Thibault,NA,Lille
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,6000,,60.5,76,France,Thomas,NA,Nice
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,63000,,60.5,77,France,Denise,NA,Clermont-Ferrand
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,34000,,60.5,78,France,Paul,NA,Montpellier
1964,0.9,Confiance,2,60.5,M,,,,M.,,"99, rue de Laine",SARL,69001,,60.5,79,France,Roland,NA,Lyon
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,42000,,60.5,80,France,Pierre,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,34000,,60.5,81,France,Aurore,NA,Montpellier
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,44000,,60.5,82,France,Claude,NA,Nantes
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,51100,,60.5,83,France,Gérard,NA,Reims
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"410, boulevard de Étienne",,42000,,60.5,84,France,Sylvie,NA,Saint-Étienne
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,66000,,60.5,85,France,Brigitte,NA,Perpignan
1974,0.9,Confiance,2,50.46153846153846,M,,,,Mme,,"138, chemin Petit",,21000,,50.46153846153846,86,France,Arnaude,NA,Dijon
1962,0.9,Confiance,2,61.56521739130435,M,,,,Mme,,,et Fils,57000,,61.56521739130435,87,France,Zoé,NA,Metz
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,72000,,60.5,88,France,Roger,NA,Le Mans
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"3, rue Bertin",,74000,,60.5,89,France,Amélie,NA,Annecy
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,13100,,60.5,90,France,Olivier,NA,Aix-en-Provence
1964,0.9,Confiance,2,60.5,M,,,,M.,,,,31000,,60.5,91,France,Sébastien,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,"13, avenue de Lecomte",,31000,,60.5,92,France,Véronique,NA,Toulouse
1964,0.9,Confiance,2,60.5,M,,,,Mme,,,,80000,,60.5,93,France,Pauline,NA,Amiens
