lieu_dit,cp,ville,id_client,code_postal,c_insee,c_iris,c_qualite_iris,codgeo
,47298,Mathieu-sur-Mer,e76f22f9-4df8-4e01-8197-037d9cc55948,,,,8,
Street,66986,Collin-sur-Guyot,4dd5188d-cc10-46ee-a0e8-247b9a39c7b1,,,,8,
,35426,Adamnec,066a053b-6fb6-423b-9c0b-4e9cbc09966f,,,,8,
,59432,Sainte Luc,c3e7a992-7f93-4d3e-8356-47698d7f4f44,,,,8,
Street,45458,Sainte Jeanneboeuf,6b7937bd-e18b-4791-801a-1040744a0da3,,,,8,
Street,14244,Michel-la-Forêt,59312736-f9bc-45c0-98b4-eca07d015134,,,,8,
Street,59173,BriandVille,f01027e6-dbc9-473f-b024-3acab037f88b,59173.0,59084,,8,59084
Street,59173,BriandVille,f01027e6-dbc9-473f-b024-3acab037f88b,59173.0,59184,,8,59184
Street,59173,BriandVille,f01027e6-dbc9-473f-b024-3acab037f88b,59173.0,59366,,8,59366
Street,59173,BriandVille,f01027e6-dbc9-473f-b024-3acab037f88b,59173.0,59497,,8,59497
Street,59173,BriandVille,f01027e6-dbc9-473f-b024-3acab037f88b,59173.0,59568,,8,59568
Street,10173,Sainte Claude-les-Bains,0c63d89c-bfad-41d5-9c36-5c342c5773d3,,,,8,
,63973,Thibault-sur-Le Goff,59beed98-a736-4329-b4bb-77dafd5e308a,,,,8,
,93388,Saint Philippe,b143f0b8-51a8-4fb8-9df7-69c0bd111ffe,,,,8,
,97689,Pereira-sur-Marchand,1b941e8b-cbdc-4693-9206-7b31d00511d5,,,,8,
,49721,Renaud,7b1ceaa1-b7c4-44a8-b691-62a8097b08b8,,,,8,
,31662,Da Costanec,49ef3e97-ce2e-42a0-853c-f8e4db3d7b23,,,,8,
Street,40898,MaillotVille,bf281c96-0a28-47ba-a162-29d4ad41c5be,,,,8,
Street,61492,Courtois,26cdac67-c6e6-49f2-ba15-add459b1a352,,,,8,
,78978,Muller,ebef2a0e-3527-4367-b5f9-b7d94c257e92,,,,8,
,20413,Toussaint,f0e73fd5-9e00-4f36-8a6a-029aa48d76b7,,,,8,
Street,21998,Bouvierboeuf,17312ab0-0df3-4a93-a3e5-b4bcd81ae3c7,,,,8,
Street,97386,Gaillard,18e93a57-b941-4b6c-875b-2d35a574bc92,,,,8,
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90017,,8,90017
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90018,,8,90018
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90021,,8,90021
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90051,,8,90051
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90082,,8,90082
Street,90140,Lagarde,347f16ce-1aa4-4023-9143-1b8ccdced0e4,90140.0,90083,,8,90083
Street,46968,Torresnec,fb9ceb16-4a56-45da-9e87-2c3d858732e4,,,,8,
,33385,Imbertboeuf,a52a9978-7d4f-491f-9a1c-83887c219e18,,,,8,
Street,92622,Bonnet,d7868954-526c-479d-ae0d-e5e59b48d450,,,,8,
,4864,Barbier,3bae85ef-7bbb-44da-acdf-bbce0a047069,,,,8,
,2791,BoulangerBourg,b055b576-82ba-452a-b807-a469daa9f3d2,,,,8,
,28489,Bousquet,e4b802d1-5925-4271-9de7-243b1a8a1e60,,,,8,
,72468,Guillon,8c025616-8af3-4040-bdbd-8ce9768d442d,,,,8,
,43458,Richard,ebfad334-5550-4463-bc86-1d02b6f4885e,,,,8,
Street,59313,Ferreira,ed565a2c-9ada-442d-8dc2-1e17a3825ac2,,,,8,
Street,93547,Lefèvre,3fbea956-b5bd-4248-8275-2899021f7e1e,,,,8,
Street,87569,Guyotdan,5c2f5d3e-ad4a-40f9-b55c-0e39abf359da,,,,8,
,28339,Traore,e7136660-339f-46f6-a69e-e3071a08e2f6,,,,8,
,4897,Saint William,396cc377-3397-4d8f-a641-d310b1bd81b0,,,,8,
Street,52649,Picard-sur-Le Gall,36100c82-39ef-48e8-b44b-09f482287a10,,,,8,
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35006,,8,35006
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35038,,8,35038
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35042,,8,35042
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35109,,8,35109
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35119,,8,35119
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35183,,8,35183
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35217,,8,35217
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35272,,8,35272
,35370,Roche,7e4a1ad3-b064-4bc5-a505-ce03a47c3665,35370.0,35338,,8,35338
,44340,Bouvier,4d33123c-310a-44d2-a9e5-0a7dd57e54ba,44340.0,44020,,8,44020
,44340,Bouvier,4d33123c-310a-44d2-a9e5-0a7dd57e54ba,44340.0,44020,,8,44020
,93341,Joubert,1e886b70-326a-4461-9fd7-f6342a2a39e1,,,,8,
Street,17298,Samson,2fb5452d-807d-4f8e-88fb-431ce35149fb,,,,8,
Street,2397,Maillard,b314188d-bdb8-4e81-b426-610e5df35ff6,,,,8,
,51466,SamsonBourg,e7dcfa28-c397-455b-a3bd-793452bfeb1e,,,,8,
,12527,Boyer,8d252d29-6692-4a32-9350-c842c6b04991,,,,8,
,64816,Saint Nicolas,c7987011-d82e-45d7-82c2-66b1c35c7686,,,,8,
Street,33106,Gomez,e151aa3e-a6a9-4987-898f-275800c409fd,,,,8,
Street,97337,Rolland-la-Forêt,5b2f42a3-518e-4754-a4e6-a72eabf99385,,,,8,
Street,97144,Langlois,3d2d2477-1eb8-4c78-8366-d45f4883068a,,,,8,
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55032,,8,55032
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55044,,8,55044
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55108,,8,55108
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55127,,8,55127
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55128,,8,55128
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55129,,8,55129
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55175,,8,55175
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55177,,8,55177
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55197,,8,55197
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55210,,8,55210
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55269,,8,55269
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55282,,8,55282
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55289,,8,55289
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55290,,8,55290
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55301,,8,55301
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55333,,8,55333
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55380,,8,55380
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55384,,8,55384
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55404,,8,55404
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55442,,8,55442
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55442,,8,55442
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55448,,8,55448
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55506,,8,55506
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55555,,8,55555
Street,55260,Louis,1b179c04-c790-45e4-9372-dbbc6153e4b6,55260.0,55570,,8,55570
,58872,Sainte Nicole,ea515a11-fe95-4a69-b223-19be9b8a6a1b,,,,8,
Street,70313,Saint Emmanuelle,4a2438fa-1d56-4a6b-87d2-2dd5299a0e55,,,,8,
Street,73833,Legros,66f599e2-3da3-4748-b238-b9fa9557fe58,,,,8,
Street,95808,Vidal-sur-Mer,f924d497-2053-4250-bfd7-188ba3c3e6cd,,,,8,
,72911,MathieuVille,51150f3c-ba0d-4e2f-9233-5ef57685a01a,,,,8,
,97443,GuillotVille,3b5e0cd0-4f0c-4327-89c2-d61b58f48514,,,,8,
Street,26982,Sainte Gabriel,7bee02f4-ebb3-49da-b231-e764cf85ec32,,,,8,
,27563,Dupré-sur-Descamps,05d2ff16-3ccb-47e7-8ebe-f2780b0bda9c,,,,8,
Street,3212,Saint Nicole,ac1a9bb8-2b4e-4eef-8464-c86d31ec1de8,,,,8,
Street,32121,Colinnec,bea5baed-a82a-4346-9a9a-2c661cb05b6b,,,,8,
Street,42717,Girard,a11308ea-1618-43ff-9caf-0d46c9008228,,,,8,
,59151,Meyer,aa676302-75c3-411b-b578-8ad99220781e,59151.0,59015,,8,59015
,59151,Meyer,aa676302-75c3-411b-b578-8ad99220781e,59151.0,59115,,8,59115
,59151,Meyer,aa676302-75c3-411b-b578-8ad99220781e,59151.0,59117,,8,59117
,59151,Meyer,aa676302-75c3-411b-b578-8ad99220781e,59151.0,59214,,8,59214
,59151,Meyer,aa676302-75c3-411b-b578-8ad99220781e,59151.0,59280,,8,59280
Street,78610,Fleury-les-Bains,e8730881-c7ba-4edc-9b55-e9835307904e,78610.0,78030,,8,78030
Street,78610,Fleury-les-Bains,e8730881-c7ba-4edc-9b55-e9835307904e,78610.0,78108,,8,78108
Street,78610,Fleury-les-Bains,e8730881-c7ba-4edc-9b55-e9835307904e,78610.0,78486,,8,78486
Street,78610,Fleury-les-Bains,e8730881-c7ba-4edc-9b55-e9835307904e,78610.0,78562,,8,78562
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52091,,8,52091
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52211,,8,52211
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52211,,8,52211
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52211,,8,52211
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52214,,8,52214
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52230,,8,52230
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52230,,8,52230
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52310,,8,52310
,52320,Weberboeuf,e1dd2aaa-63b3-4452-a5ca-c9bbb4ca8e07,52320.0,52326,,8,52326
