civilite,prenom,nom,lieu_dit,cp,ville,id_client,code_postal,nom_de_la_commune,c_insee,c_iris,c_qualite_iris,codgeo,id,age_retraite,age_etud,rfmd911,tx_seul,tx_fammono,tx_coupsenf,tx_coupaenf,et_niv0,et_niv1,et_niv2,propr,locat,locat_hlm,h_ind,t_comm,typocom,rev,c_indice_qualite_rev,t_mm,t_m,t_p,t_pp,c_indice_qualite_formation,c_indice_qualite_menage,c_indice_qualite_pcs,c_indice_qualite_logement
M.,thomas,Chevalier,Longeray-Gare,1500,Ambérieu-en-Bugey,01,1500.0,AMBERIEU EN BUGEY,01004,0102,1,010040102,9.0,55.0,19.0,59252.0,0.37,0.12,0.23,0.27,0.69,0.25,0.06,0.19,0.81,0.28,0.27,4.0,112.0,19660.07,2.0,0.49,0.25,0.21,0.05,2.0,4.0,0.0,4.0
M.,Raoul,Bodet,Les Pérouses-Triangle d'Activités,1500,Ambérieu-en-Bugey,02,1500.0,AMBERIEU EN BUGEY,01004,0101,1,010040101,8.0,60.0,16.0,59252.0,0.4,0.06,0.25,0.28,0.6,0.32,0.08,0.34,0.66,0.23,0.48,4.0,112.0,20643.54,2.0,0.31,0.37,0.24,0.08,0.0,3.0,2.0,3.0
Mme,Lou,Durand,Quartier Bellevue,1250,Ceyzériat,03,1250.0,CEYZERIAT,01072,0000,2,010720000,163.0,61.0,21.0,67083.0,0.29,0.07,0.34,0.29,0.54,0.35,0.11,0.65,0.35,0.06,0.78,2.0,112.0,25974.02,0.0,0.25,0.28,0.31,0.16,1.0,1.0,2.0,0.0
M.,Léon,Leleu,Quartier Bellevue,1250,Ceyzériat,04,1250.0,CEYZERIAT,01072,0000,2,010720000,163.0,61.0,21.0,67083.0,0.29,0.07,0.34,0.29,0.54,0.35,0.11,0.65,0.35,0.06,0.78,2.0,112.0,25974.02,0.0,0.25,0.28,0.31,0.16,1.0,1.0,2.0,0.0
M.,Lucas,Durand,Quartier Bellevue,1250,Ceyzériat,05,1250.0,CEYZERIAT,01072,0000,2,010720000,163.0,61.0,21.0,67083.0,0.29,0.07,0.34,0.29,0.54,0.35,0.11,0.65,0.35,0.06,0.78,2.0,112.0,25974.02,0.0,0.25,0.28,0.31,0.16,1.0,1.0,2.0,0.0
Mme,Max,Lefevre,Centre,1220,Divonne-les-Bains,06,1220.0,DIVONNE LES BAINS,01143,0101,1,011430101,294.0,57.0,22.0,168789.0,0.46,0.09,0.24,0.21,0.38,0.33,0.29,0.46,0.54,0.09,0.17,3.0,112.0,45336.07,2.0,0.19,0.26,0.26,0.29,4.0,4.0,3.0,1.0
Mme,Étienne,Dubois,Nord-Ouest,1220,Divonne-les-Bains,07,1220.0,DIVONNE LES BAINS,01143,0102,1,011430102,295.0,68.0,22.0,168789.0,0.26,0.08,0.28,0.38,0.32,0.32,0.36,0.8,0.2,0.0,0.71,3.0,112.0,60572.97,2.0,0.17,0.24,0.29,0.3,4.0,1.0,3.0,2.0
M.,Léon,Nicolas,,72000,Le Mans,05c6313f-e39b-4b52-9836-984382fc63bc,72000.0,LE MANS,72181,0000,2,721810000,69613.0,58.83,19.57,56435.0,0.47,0.09,0.25,0.19,0.6,0.27,0.13,0.37,0.63,0.2,0.43,7.0,111.0,21165.95,0.0,0.33,0.26,0.28,0.14,0.0,4.0,0.0,2.0
M.,Roger,Becker,,49000,Angers,a2f5d53b-526f-4335-a0c6-c476b3183aec,49000.0,ANGERS,49007,0000,2,490070000,42437.0,55.95,18.73,57293.0,0.53,0.09,0.22,0.16,0.52,0.3,0.18,0.25,0.75,0.23,0.24,7.0,111.0,21050.29,1.0,0.32,0.24,0.27,0.17,1.0,4.0,0.0,4.0
Mme,Joséphine,Pages,,13001,Marseille,afd254d1-22d3-4a92-bee1-cbfc50f7ac32,,,,0000,8,0000,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mme,Margaux,Weber,,74000,Annecy,bb1857ca-3e8d-484a-b2db-a55200bb281f,74000.0,ANNECY,74010,0000,2,740100000,70784.0,55.86,20.45,67163.0,0.5,0.08,0.25,0.17,0.48,0.32,0.2,0.43,0.57,0.11,0.05,6.0,111.0,24321.05,0.0,0.26,0.25,0.31,0.18,2.0,4.0,2.0,1.0
Mme,Astrid,Blin,,80000,Amiens,40cd6d6c-3ef3-4290-920b-26fb61ed9f23,80000.0,AMIENS,80021,0000,2,800210000,77450.0,55.26,19.53,56990.0,0.46,0.12,0.21,0.21,0.57,0.26,0.16,0.27,0.73,0.23,0.39,7.0,111.0,19976.59,0.0,0.35,0.25,0.25,0.16,0.0,4.0,0.0,4.0
